Date,Ratings,Review,Park
Apr 2015 ,5.0,First it is a park in Saltlake & easily accessible through public transport. Most of the lovers are in different moods & might be have license to do things after marriage . Please avoid if you are decent & specially with your family.. There is not a single thing is special here. Please avoid.,Central Park
Sep 2014,4.0,Nothing is there.. only some young couple can spend some time like any other city park. Old people can go for evening / morning walk but you will get many park like this in saltlake.,Central Park
Mar 2015,5.0,located in the salt lake area this is the best place for spening your romantic evening with your loved onces.,Central Park
Jul 2014 ,4.0,You cant even think of visiting this place with family.. donno how can a public place be like this. Shameful! Plain avoid..,Central Park
Oct 2014 ,3.0,Park meant for desparados. Cool place for lovebirds....but a complete no no for families.Couples in compromising situation are easy visible. Avoidable at all times except in d morning..,Central Park
Feb 2015 ,3.0,Guys if you with family or yourself with some decency please avoid the park. Its not a lovers park but a B Grade movie lovers park with no sense of decency,Central Park
Feb 2015 ,5.0,"Paradise for any couple who wants to meangle themselve apart from normal society. Tall tress, bushes make you hidden place for your love making attitude. Hardly guard is available, they too managable. You need to be little bold & desparate, Diificult for family memebers, never go with children, it is live adult showroom.Enjoy.",Central Park
Jan 2015 ,3.0,Just a below average park. Not very well maintained and clean. Decent enough for a walk though. Can be called bandstand of kolkata also considering the no. of couples visiting the park :P,Central Park
Jan 2014 ,3.0,"I stayed in Kolkata for 3 years and walked here often on weekends when I I was resting. My house was in Salt Lake, close to the stadium there and to get a taxi is easy but not pleasant.",Central Park
Dec 2011,4.0,sin city is the only phrase that suits central park. the couples run live adult shows there. totally unsuitable to visit with children. moreover the place has of late become very dirty.,Central Park
Oct 2012,5.0,Good scenic beauty esp a section where there is a pathway on the pond and you manage to go to the other sde of the pond. Lot many of salt lake resident come for morning walk and its free entry is valid till morning 8 AM ( if i remember it right) afterward sthis become lovers point n a whole lot crapy stuff goes on. A strict no no place if you do not want to do a public display of affection.,Central Park
Mar 2012,4.0,"the green smell..it could b better if d lovers maintain little decency.. great place for morning walk .. the jhill is qt awsome..once it hv boating facility. i want it again.. variety of trees, folwer plants..",Central Park
Dec 2011 ,3.0,Den of perverts. It is not fit to be visited along with children because of shameful activities of young lovers.,Central Park
Aug 2011 ,3.0,"There is an entrance fee to this park, which is located near to Salt Lake City (the new office hub of Kolkata, with the entire BPO/KPO infrastructure and important Govt. of WB offices), where you can spend some time enjoying nature â walk leisurely, jog, exercise, sit around, or better, do some fishing in case it suits your pastime preferences. The place seemed to be quite favorite for couples of all ages, and they seem to fit in themselves almost nook and corner in the park! However, the park is very poorly maintained with proper landscaping seriously lacking and trash all around. The only saving grace seems to be the lake, variety of flora and the greenery all around.",Central Park
Aug 2011,5.0,this park is near to the place called karunamayee. it can be reached easily from any corner of the city.its lush green environment is really soothing.there is a separate area for children too having different types of rides.mid of the park there is a big lake.a pagoda has been built to connect one part of the park to another .best time to visit is in the morning(specially for yoga & other activities).evening is also good for visiting this park with friends and family. there is an entrance fee but till 8am its free for morning walkers.outside this park there are small eateries.,Central Park
Sep 2011 ,3.0,"i call it the lover's paraside . Sheer love all around . love breezes across your face re-instating why this city is called the "" CITY OF JOY"". Stress relieving journey & here your stress takes a backseat.",Central Park
Oct 2021 ,5.0,The person with whom we had discussion inside office cabin was extremely rude. We wud never recommend anyone ecopark for pre wed shoot,Eco Tourism Park
Feb 2021,4.0,Good place to go and spend some time with family. Huge area and has multiple options for kids and adults. liked the replica of 7 wonders,Eco Tourism Park
Apr 2021 ,4.0,This is indeed a nice place developed with nature and activities to spend with your family and friends. You have good eateries including famous mishti hub,Eco Tourism Park
Mar 2021,5.0,"Everytime I see you, I get a new you.Everytime we visit this place wesurprised with all new attractions.This we discovered ac toy trains and the seven wonders park.Spending only 30/- visit the Seven wonders of the world.",Eco Tourism Park
Jan 2021,5.0,Worthy Evening Visit . Been 2 Times here and loved it a lot . Especially Night Show in Local Language .,Eco Tourism Park
Dec 2020,4.0,"Largest Park in India.Well maintained but itâs d crowd which gets u. Itâs as if d whole city is there. But, kudos to d administration dt they r able to keep it clean in spite of d below average hygiene standards of d crowd.There is creativity around. Japanese garden is beautiful. Replicas of all d seven wonders look authentic wd a working lift in d Eiffel Tower replica.One time visit is okay!",Eco Tourism Park
Jan 2021 ,5.0,"I went to see the miniatures of seven wonders of the world. Its beautiful; However, You will have to go through 2 different ticket counters. One is to enter the park and the other one to see the seven wonders of the world which irritated me a bit. Rest overall a good experience.",Eco Tourism Park
Mar 2020,5.0,"Great place to tour as well as relax. One for all the age groups; be it couples, friends, family, etc. Also has restuarants inside it. A new attraction has also been made in replica of the seven wonders of the world. Excellent place for photography too.",Eco Tourism Park
Sep 2019 ,5.0,This Eco Park is new destination of Kolkata. Every tourist now days wants to see this new destination. This new concept as well as new park with eco nature concept. Please see this idea made park. The park is created recent years which change concept of beauty ful nature. This is make new tourist spot in Kolkata.,Eco Tourism Park
Jan 2020,4.0,The biggest park in Kolkata in kilometres and full of different activities..seven wonders of world is an excellent creation and so many other activities in this well maintained big park,Eco Tourism Park
Feb 2020 ,4.0,"It's a lovely man-made park newly started in KOLKATA. Has lot of beautiful attractions. Like seven wonders of the world, boating, great good, train ride....u can go up the Eiffel tower by a lift for RS 10. Better to travel by you train /E rickshaws as the trail is 5 km long n u wud get tired. Great for picnics",Eco Tourism Park
Feb 2020 ,5.0,"A park so huge that you can't go from one side to another, with lots of trees grassland and lake.a dayout to be remembered for a longtime.",Eco Tourism Park
Nov 2019 ,5.0,"The Eco Park is the best park of India with respect to size. The replica of seven wonders, the butterfly garden, the tropical forest, the rose garden, The tea garden etc are superb. If you want to visit this park entirely, one complete day is not enough!",Eco Tourism Park
Jan 2020 ,4.0,It is the biggest urban park in India and occupies over 475 acres of land. The beauty of the location increases ten folds.,Eco Tourism Park
Dec 2019 ,5.0,"Nice place to hangout with friends and famalies...its the largest among the parks in kolkata,best thing is its outside city..you can smell the freshness of air in it.Also has many rides ...loved this place",Eco Tourism Park
Jan 2020 ,5.0,this park is a must visit one. one whole day is needed if you want to relax and enjoy the park. its in new kolkata . you can visit the 7 wonders of the world inside the park. its really beautiful and very precisely made and looks like the real ones. Then you can hire bicycles and roam inside the park or you can travel in the CAB inside to visit the whole park as it is a very big one. you have the toy train also to travel inside and they make you visit the whole park. its very clean inside and very well maintained. so do not miss to visit this park when you travel to kolkata.,Eco Tourism Park
Dec 2019,1.0,"New Town Eco Park (Prakriti Tirtha), different types of fauna planted also you can see 7 wonder of the world (on chargeable basis)",Eco Tourism Park
Dec 2019 ,5.0,Eco tourism Park in New Town Kolkata has garden Lake and children's play park with replica of seven wonders. We can visit in weekends or weekdays as it is always fun there.,Eco Tourism Park
Dec 2019,4.0,"Very huge park. Best attraction are seven wonders of the world monuments, widely placed. A perfect place for family photographs. There are different gardens, play areas, activities spaced over more than 400 acre of place. Spare atleast 5 to 6 hours quality time there. The park opens at 12:30 afternoon. Excellent family place",Eco Tourism Park
Dec 2019 ,4.0,"Entrance fee is 30 INR, another 30 INR for 7 wonders section, in general itâs good for a quick visit, itâs far from the real experience however itâs still okay to spend an hour at that park.",Eco Tourism Park
Dec 2019 ,5.0,The ecotourism park is entry free and holds a wide collection of plants which are of great significance.,Eco Tourism Park
Dec 2019,5.0,"Went with family and friends and enjoyed a lot. It has something for everyone. It is huge and no doubt gets expensive if you want to do all kind of activities but without a doubt it is fun. There is a lake where boating can be done, cycling is also an option and there are some activities for kids as well apart from scenic views.",Eco Tourism Park
Dec 2019,4.0,"A park for recreation of various activities has been developed and managed by a company HIDCO. A lake is located for a joy ride, The kite festival was organised in the past.",Eco Tourism Park
Jul 2019,5.0,Huge greenery to spend time with your firends and family. replica of the 7 wonders in the park. Restaurants etc inside.,Eco Tourism Park
Nov 2019,5.0,"The space is ample, huge grounds with all facilities....however an unfortunate incident happened the day when we went and it was all over news... There are places where the park can be seen via the small train covering the entire park or in small battery driven vehicles.. But the price is definitely high.. 150 per head for train and 100 per head for battery operated vehicle...There are food joint and water recreational bodies, some of which are unguarded which resulted in the tragic incident of a kid.....So in nutshell... definitely a visit for all ages... old, young couples kids but keep vigil...",Eco Tourism Park
Nov 2019,1.0,"During our recent stay in Kolkatta we visited the eco park and wee pleasantly surprised by its extent and contentItâs a huge sprawling park in Newtown Rajarhat and has had lots of activities ,huge water body and one of its mIn attractions-The seven wonders of the worldThey are very nice replicas and in the evening with the lights they are very impressive and worth a visit and photo shoot",Eco Tourism Park
Nov 2019,5.0,"The superbly built seven wonders in ecopark Kolkata is the key feature here. Not only children's, teen agers but also adults n senior citizens could enjoy at fullest. Must visit place.",Eco Tourism Park
Jul 2019 ,4.0,"It was really great to see that such a big green pocket is being maintained in Kolkatta. A very big place. You literally require 4-5 hours to explore the entire place. The highlight was the seven wonders of the world. If you want to see the seven wonders first, enter through Gate no.4",Eco Tourism Park
Nov 2019,4.0,It is good for business meetings and social dining. I attended a conference here which was well managed.,Eco Tourism Park
Nov 2019,5.0,"You must be prepared to walk a lot here. Nice place close to nature, can roam around, you have the option of boating also, take your time and roam in a relaxed manner,",Eco Tourism Park
Aug 2019,5.0,a big park with a great landscape and surroundings. its really amazing to be here and one can spend around 3/4 hours without even noticing the watch.,Eco Tourism Park
Oct 2019,4.0,"It's located in a vast area away from the city but connected by the main road. It has a lake, small forest, parks, gardens, food court etc. It's very refreshing to walk or cycle inside the park. They have the seven wonders of the world and a Japanese themed house which is a must visit.Also visit the Mishti hub for sweet delicacies from the best sweet shops of Kolkata at a single location.",Eco Tourism Park
Oct 2019,5.0,"It's a short drive from central Kolkata and a welcome place to spend the whole day indulging in outdoor activities. Cycles on hire, a small ""toy train"" and boating in the lake are all available. I preferred to walk around the spacious trees-plants-flowers filled park. Best time to visit would be end November to Feb when the temperature is cooler and the sun feels welcome. Miniature Seven Wonders of the World is fun to explore. Food outlets are available. After breathing the toxic fumes of a congested city, a day spent here in the park helps one's lungs to feel refreshed.",Eco Tourism Park
Jan 2019,5.0,It is one of the beautiful garden I have ever sawn . It is very well maintained . One can come with family and friends for relaxation .,Eco Tourism Park
Sep 2019 ,1.0,"Its a huge area located in Rajarhat with lots of activities to do. It has parks, a huge lake where one can do boating, eateries, cycling, ice skating and more. It also has replicas made of seven wonders of the world. It opens in the noon till late in the evening and is closed on Mondays. A must place to visit when one is in Kolkata.",Eco Tourism Park
Sep 2019,5.0,"Huge Open Space in Kolkata developed alongwith a lake in New Town area, Sweets of different reputed Brands of Kolkata available at one place, 7 wonders of the world replica in the Park, Picnic Spot. Natural scenic beauty. Mothers Wax museum and Good 5 Star Hotel are the added attractions. It is near to Dumdum International Airport also.",Eco Tourism Park
Sep 2019 ,4.0,"Spread across a vast area and aesthetically decorated. The sunset across the lake looks beautiful. Variety of activities like boating, cycling, guided tours are there. Replicas of 7 wonders are worth a watch and photoshoot specially with lights on. Many food stalls are present across the place. Cafe ekante restaurant serves quality food. Large area to roam around and spend a day with your loved once.",Eco Tourism Park
Sep 2019 ,4.0,The area is very big..and a small lake is there..beautiful place and family place....you can see replica of 7 wonders there,Eco Tourism Park
Aug 2019,5.0,"Eco Park is a good place to hang out with friends or family to catch fresh air amidst lots of greeneries, but one needs to exercise some caution as to insects and thugs",Eco Tourism Park
Nov 2018,5.0,"Awesome experience by us, when I and my family family members had gone for a leisure and picnic. We played some cricket with my cousins and enjoyed.",Eco Tourism Park
Aug 2019,4.0,The place is very good and nice to visit this place.Nice place and very clean place.Very known place.,Eco Tourism Park
May 2019,5.0,The place is one of the beautiful must visit place in the city which is built on eco-friendly theme and has so real good stuffs for all ages visiting the place.,Eco Tourism Park
Jul 2019 ,5.0,"Go there to explore what the place offers. You ask it, they have it. You will get exhausted but not get bored.",Eco Tourism Park
Nov 2018,1.0,"I had a fun time with my family at ECO Tourism Park at New Town, Kolkata during November,2018. It is a brain child of Chief Minister of West Bengal, Ms. Mamta Banerjee and really nice to have leisure time with lots of fun and quality time for spending with family and friends. One must visit this place. Car parking is available and entry fee is also not much.",Eco Tourism Park
Aug 2019,5.0,"Excellent place to spent time with families friend and everyone,foods are little bit costly but manageable..",Eco Tourism Park
Aug 2019 ,5.0,We are in Kolkata the city of joy for the first time and we went to the place. We really feel blessed soo awesome place no worries no any others thinks in our mind just enjoying beauty of nature so many new things are seen here we see 7 wonder of the world herbel garden butterfly garden and soo many others beautiful garden are here. Lately awesome place.,Eco Tourism Park
Sep 2018 ,4.0,"Nice place to spend some time with kids. Visited many times. Although replica are not very high quality, still worth visiting.",Eco Tourism Park
Aug 2018 ,4.0,"Always love the park, the area it is covered is huge. Have many fun things to do and try. Food option is limited unless you take some on your own.",Eco Tourism Park
Jun 2019 ,5.0,"This is a huge park, around 400 acres, so in all likelihood it's not possible to see the whole thing in one day. What you must see though, is the Seven Wonders of the World; miniature replicas of the famous monuments. I believe the park also has boat rides and cycles on hire but we didn't go that far.",Eco Tourism Park
Jun 2019 ,5.0,"A beautiful park in Kolkata and well maintained. We went twice to this place, and each time had awesome experience. There are many things to see and many restaurants inside the park. Also there is Mishti Hub where you can get variety of sweets under one roof. There is seven wonder park where the wonders are built beautifully. Also there are many fountains, gardens. Tickets are cheap, only 30Rs per person to enter the park and after that you can buy tickets for each attraction according to your choice. In the evening there is a laser show between gate no 2 and 3. This is one of the major attraction in the park.",Eco Tourism Park
Sep 2018,4.0,"The park is too big. main attraction is 7 wonders of the world. Note, please make sure you enter from Gate 4. 7 wonders and some other attractions are near gate 4. If you enter from Gate 1 you may need to walk for 60 mins or so to reach to gate 4. Depending on how much energy one has, you can spend 2 to 6 hours here.",Eco Tourism Park
May 2019 ,5.0,"Bad experience! The park is well maintained but the boating ride is badly maintained. Paddle boats, motor boats, speed boats all have been put in one lake, with motor boats and spped boats almost drowning the paddle boats. NO GUARDS in the water,only one irresponsible person struggling to release boats in the lake, and nobody helped two ladies stuck in the water. The driver of motor boat said he could not stop his boat, even if the paddle boat drowns. They even do not help in parking the boats. PLEASE take this ride at YOUR OWN RISK,if you know swimming, or if you are too confident in paddling. They themselves say paddle boats cant be controlled",Eco Tourism Park
Jun 2019 ,5.0,"A great place with full of greenery. It would take atleast 3 hours or even more to complete the tour of the park. It has many recreational activities for both adults and childrens including boating and cycling facilities. It also houses many restaurants. The special attractions include Misti Hub, Seven Wonders of the World replica, Deer Park, Mini Golf Course and many more, a big water body and many more.",Eco Tourism Park
Jun 2019 ,5.0,"Fun place,lots of activities are here, cycling,boating,waterscooters,etc. Road train are there to take a tour of the park. I have been there so many times yet I failed to cover the whole area.its a place you can enjoy picnic.",Eco Tourism Park
Jun 2019 ,4.0,"The Eco park is very large area, well planned, build and maintained. Has lot of area of spread in New Town layout extremely attractive for many visitor. Can be part of plan if a half day idle with no visit within City.",Eco Tourism Park
May 2019 ,4.0,It's a awesome park I can say it's the best park in the country. natural environment is wonderful. You should go once to see what West Bengal made for the people.,Eco Tourism Park
Nov 2018 ,5.0,"The Eco Park is huge in size, and spread over a large area surrounding the lake.The park is good to visit with friends and family. It has entry ticket which is not justified as everything inside is also chargeable. The prices inside are very high except may be water. Rides, food etc are all expensive. If you want to travel on foot be sure to carry umbrella and water bottle.The attractions ""Seven Wonders of the World"" are nice to visit one by one.You can easily spend couple of hours here on any weekend. Although trip on weekdays is recommended.",Eco Tourism Park
Jun 2019 ,5.0,"Awesome open space in Kolkata, very nicely developed keeping in mind visitors need, be it parking space, food joints, washrooms or cleanliness. Thought process behind the development is commendable and well maintained park. But the fun is ruined with huge crowd, most of them were shouting at their high volume without any reason, some have got stereos which were on their full volume and passage of remarks to other visitors. Would be better if some monitoring happens inside to control the loud shouting, unnecessary volume of music system. Presence of considerable number of police personnel will help to stop passing remarks by some visitors and enjoyment of the space by others. General security is good and did not feel any issue.",Eco Tourism Park
Jan 2019 ,4.0,It is relatively new park. But it is clean and calm park. Very nice place for a family to enjoy the whole days.,Eco Tourism Park
Oct 2018 ,5.0,"The park is vast and very well maintained. Itâs one of the cleanest places in the city and one of the few that imposes a fine for littering. If you plan to go to a particular spot in the park, check with gate is closest as it can be quite a walk. There are lots of activities like Zorbing, cycling etc or you can simply walk. The seven wonders, water fountains, lake, little cottages are lovely to see and walk by. The canteen is nice too as are the little eateries and restaurants. There is a recently opened Mini golf course and training academy opened too. Indoor skating is also an option.",Eco Tourism Park
May 2019 ,5.0,"Ecopark is a place where you can spend the whole day and still not cover the whole park. It is filled with lush greenery , attractions like the 7 wonders of the world and a plethora of activities. The activities like cycling,toy train etc are costly but so be careful with choosing them",Eco Tourism Park
May 2019 ,1.0,Since my hotel was just across the park. I visited this place. I was happy that I made the decision to visit. It is worth for everyone to visit. There are lot of opportunity for everyone to enjoy. There is 7 wonders of the world you should not miss.,Eco Tourism Park
Dec 2018,5.0,"Beautiful place in Newtown, Kolkata.Excellent landscaping, and miniature forms of the great wonders of the World.",Eco Tourism Park
May 2019 ,5.0,"Clean & green place, liked the ambience. Best part is the 7 wonders recreated, which comes to life in the evening!!",Eco Tourism Park
Apr 2019 ,4.0,"Its a awesome place in Kolkata, located on Kolkata Airport - Saltlake Expressway. If you want to buy flats near eco park, you can contact New Residency Solutions, best local searches for residential apartments.",Eco Tourism Park
Apr 2019 ,4.0,"The park is good, but be warned there are different entrance tickets. A general ticket is only INR30, but that won't allow you into the 7 wonders section. A good place to go for a run or to get away from the noisy city. Note its usually only open from the afternoon.",Eco Tourism Park
Mar 2019,5.0,"Diglipur (325kms. Approx 12hrs by road from port blair) situated North Andaman island, Diglipur provides a rare experience for unfriendly tourists. This is famous for its orange, rice and marine life. Saddle beak the highest point in the islands is nearby. One can feel the innocent Beauty of village life everywhere in Diglipur.",Eco Tourism Park
Apr 2019 ,5.0,We were in Kolkata for a day. We had a few hours to spare and visited this place. The children enjoyed the vast open space. The food options were decent too. The place is well maintained.,Eco Tourism Park
Jul 2018 ,4.0,"Seven wonders of world are sculptured beautifully. Children as well as adult can enjoy lots of rides.. Plenty of good food present. Overall good environment , great for one day family trip.",Eco Tourism Park
Aug 2018 ,5.0,"Eco friendly park, well maintained with greenery, vast area with lake in the middle, sufficient pathways to walk through, drizzle pathway, children can hire two seated bicycle to go around the vast area of the park. 7 wonder miniature models are worth for posing photography with family. Boating is also available. Restaurants also available for food and coffee.",Eco Tourism Park
Mar 2019 ,5.0,"I visited Eco park on Friday towards the evening and there were several people already waiting in queue. We entered through gate 4 and visited the Wonders of world area. The park already has an entrance ticket and then you need to pay extra to visit the wonders which is very confusing. They should have informed about the charges at entry only. The park is located in a huge area and is divided into different zones like rose garden, mask garden, tea garden, etc. In the centre it has a lake where musical fountains are operated during evenings. The washrooms even though paid are not at all maintained which was a huge disappointment. It will take a full day to cover this place.",Eco Tourism Park
Sep 2018 ,1.0,"Great park with bicycling especially at sunset time. Beautiful surroundings of Effile tower miniature, lake etc etc",Eco Tourism Park
Mar 2019 ,5.0,Really beautiful And fillled with many activities. It is huge and takes almost 30 hours to complete. Children really had fun. The prices are very reasonable and just opposite to it there is mother trusades wax museum as well.,Eco Tourism Park
Aug 2018,5.0,"Worth visiting because of its vast expanse, the variety of things one can see and do. I especially liked the butterfly garden. There is something here for everybody, for children and adults.",Eco Tourism Park
Mar 2019 ,4.0,"They open late, but are open all day. Plenty to do there. Good place to eat (Cafe Ekante). Fun place to be with family, friends, kids, etc.",Eco Tourism Park
Nov 2018 ,4.0,"A great amusement park. A great place for an outing amidst nature. The scenery is beautiful. Away from the humdrum of life it's a place which offers that rare tranquility that we often long for. The well laid out gardens and the planning of the place itself is a visual treat that adults can enjoy, while the rides , park and boating can indulge the kids.",Eco Tourism Park
Feb 2019 ,5.0,Eco park is a fantastic park made. it is an entire package. you can go there to have a quite peace of mind. Have delicious food. spend some romantic time.,Eco Tourism Park
Mar 2019 ,5.0,This huge park is maintained very well and is divided into sections. The rose garden is beautiful and it is spread over a large area. The seven wonders of the world miniature form is quite impressive as well. The entrance tickets are quite cheap and easily affordable by the masses. Overall a nice place to spend the entire day as you have lots of things to stay busy with.,Eco Tourism Park
Jan 2019 ,4.0,"This is one of the newest attractions of Kolkata. Spread over a large area including a vast water body, it attracts a great number of visitors everyday. It also houses the miniature versions of the wonders of the world. A number of Children Sports Facilities are available.",Eco Tourism Park
